result,Draw_odd,odd_dif,ovr_dif,att_dif,mid_dif,defe_dif,rank_dif,points_dif,Elo_ranking_dif,Elo_rating_dif,goal_balance_dif
lose,3.23,3.2600000000000002,-10.939999999999998,-5.8799999999999955,-11.810000000000002,-10.439999999999998,26.0,-304.0,49,-277,-0.3998897599216071
draw,3.65,1.63,-0.5300000000000011,-0.5300000000000011,1.7999999999999972,0.5999999999999943,4.0,-78.0,18,-105,-0.47000247557111985
lose,3.12,1.44,4.5,5.5,6.439999999999998,6.439999999999998,-5.0,17.0,59,-230,0.3391764705882353
lose,3.75,7.67,-9.939999999999998,-9.329999999999998,-10.439999999999998,-8.439999999999998,51.0,-185.0,48,-303,-0.15342163355408392
win,3.33,-2.16,2.4200000000000017,4.849999999999994,1.9399999999999977,0.75,-8.0,153.0,-10,151,0.7654211983222814
win,5.53,-8.95,8.530000000000001,7.739999999999995,6.049999999999997,7.469999999999999,-16.0,352.0,-33,340,0.7707224798633147
lose,3.27,-1.9899999999999998,4.409999999999997,6.239999999999995,4.299999999999997,4.849999999999994,-13.0,300.0,3,-10,0.0714718790152079
lose,3.22,-0.8600000000000003,-1.2999999999999972,2.299999999999997,-2.0600000000000023,-1.75,2.0,-91.0,1,-75,-0.2465828307288792
draw,5.27,-9.99,11.86,13.239999999999995,9.879999999999995,10.14,-18.0,389.0,-33,246,1.3133809520609772
win,8.65,-19.38,7.530000000000001,3.739999999999995,8.049999999999997,7.469999999999999,-30.0,524.0,-42,378,-0.2342764427826669
win,3.69,-4.49,5.590000000000003,7.459999999999994,4.8799999999999955,4.469999999999999,-9.0,135.0,-6,146,0.02515824521605503
win,4.08,-8.02,5.590000000000003,7.459999999999994,4.8799999999999955,4.469999999999999,-1.0,5.0,-14,162,0.026649816783596125
win,4.38,-7.23,5.030000000000001,6.239999999999995,9.549999999999997,4.469999999999999,-14.0,126.0,-45,339,0.36016405887562736
win,3.85,-6.05,11.030000000000001,12.83999999999999,10.849999999999994,10.670000000000002,-44.0,448.0,-25,251,-0.16139173901604842
win,4.17,-4.720000000000001,5.590000000000003,9.86,5.239999999999995,3.030000000000001,-5.0,138.0,-19,258,1.1205644349939907
win,3.15,-0.2999999999999998,-3.8299999999999983,-3.4399999999999977,-5.890000000000001,-6.719999999999999,33.0,-104.0,-10,34,0.65457199734572
lose,6.55,12.0,-8.829999999999998,-9.909999999999997,-9.180000000000007,-9.599999999999994,49.0,-535.0,45,-377,0.1296164772727273
lose,3.51,0.41999999999999993,0.5700000000000074,-1.539999999999992,0.4099999999999966,-0.21999999999999886,27.0,-365.0,19,-120,1.0796974522292992
win,3.55,2.4,-5.5,-7.109999999999999,-6.219999999999999,-5.049999999999997,2.0,-59.0,-5,33,0.3881678745996966
lose,5.22,6.180000000000001,-12.439999999999998,-11.5,-13.329999999999998,-13.549999999999997,57.0,-936.0,41,-301,-0.1411345108695652
lose,3.27,2.5999999999999996,-3.180000000000007,-3.5,-2.930000000000007,-0.38000000000000966,84.0,-763.0,30,-160,-0.1485493230174082
lose,4.49,7.13,-8.89,-7.439999999999998,-9.290000000000006,-6.980000000000004,89.0,-939.0,32,-244,-0.4370724645174635
lose,3.65,-4.59,3.759999999999991,4.590000000000003,3.8799999999999955,5.059999999999988,-10.0,146.0,7,-20,-0.06784260515603802
win,3.59,-3.6900000000000004,4.939999999999998,5.0,-0.18000000000000682,8.239999999999995,-42.0,169.0,-17,99,0.6338142977607045
draw,3.28,1.0999999999999996,-0.8400000000000034,-2.8900000000000006,0.4299999999999926,1.9099999999999966,72.0,-496.0,7,-29,0.2802575744087361
win,5.26,-8.82,3.1099999999999994,2.8900000000000006,1.1099999999999994,2.719999999999999,-15.0,306.0,-30,225,-0.2915010757655258
win,3.79,-1.0500000000000003,-2.3299999999999983,-3.6099999999999994,-2.450000000000003,-2.3400000000000034,-10.0,278.0,-4,75,-1.184007844535568
lose,3.0,-0.3500000000000001,-2.5400000000000063,-2.3499999999999943,-2.5400000000000063,-2.930000000000007,-14.0,503.0,6,-37,-0.6229513351072984
lose,3.16,1.04,-2.5400000000000063,-2.3499999999999943,-2.5400000000000063,-2.930000000000007,-9.0,155.0,-3,44,-0.5477164120642382
win,4.72,-7.51,4.109999999999999,4.890000000000001,2.1099999999999994,2.719999999999999,-52.0,727.0,-33,304,-0.3469064399383539
win,6.75,-16.41,12.11,11.89,9.11,10.719999999999999,-50.0,689.0,-62,467,0.5394471712735727
win,3.34,-0.6800000000000002,-1.8299999999999983,-2.4399999999999977,-2.3299999999999983,-1.7199999999999989,-4.0,118.0,-4,102,-0.32473520249221177
win,3.35,-3.1500000000000004,5.579999999999998,6.709999999999994,5.519999999999996,4.900000000000006,-30.0,684.0,-8,105,0.37105265831529965
win,3.34,-1.21,2.5799999999999983,2.3599999999999994,2.9099999999999966,3.319999999999993,-11.0,228.0,-12,120,-0.7615035513366457
win,5.15,-10.45,9.11,10.39,9.11,7.719999999999999,-22.0,410.0,-45,385,-0.13601333256266496
win,3.39,-1.9300000000000002,5.719999999999999,5.890000000000001,5.439999999999998,6.219999999999999,-3.0,79.0,-7,86,0.03278289918809202
win,3.53,-0.98,-1.0,-4.0,2.0,0.0,-14.0,172.0,-9,38,-1.0049989226459815
win,5.0,-9.8,10.5,11.61,10.11,12.939999999999998,-47.0,229.0,-29,318,0.21299775962997747
lose,3.43,-1.6100000000000003,2.5600000000000023,3.280000000000001,2.1099999999999994,3.5,-3.0,158.0,-2,101,1.1151228441052874
win,9.35,-19.68,8.36,8.61,8.409999999999997,9.469999999999999,-40.0,486.0,-48,398,0.8835793694186258
draw,4.42,-4.64,6.070000000000007,5.969999999999999,4.219999999999999,8.719999999999999,-5.0,97.0,-4,79,1.2815758561489112
win,3.92,-5.15,6.070000000000007,5.969999999999999,4.219999999999999,8.719999999999999,-13.0,613.0,-6,201,1.324806783801428
win,3.75,-2.9299999999999997,4.769999999999996,3.969999999999999,3.6200000000000045,6.319999999999993,6.0,-98.0,-2,23,1.2257438145944253
win,6.69,-17.59,9.670000000000002,10.170000000000002,8.219999999999999,8.219999999999999,-24.0,652.0,-39,412,0.6282756770936185
win,5.16,-9.94,4.549999999999997,4.670000000000002,4.469999999999999,7.599999999999994,-6.0,131.0,-14,217,0.5037164234024285
win,3.5,-6.6,4.549999999999997,4.670000000000002,4.469999999999999,7.599999999999994,-19.0,138.0,-8,184,0.5191476044156139
lose,3.25,-3.34,-0.6099999999999994,-0.10999999999999943,-1.3400000000000034,0.5,-4.0,71.0,-1,19,0.9885186040469935
lose,3.19,-0.18000000000000016,-1.1599999999999966,0.730000000000004,-1.8900000000000006,1.0,8.0,-216.0,2,-92,0.19113703453426756
win,5.16,-8.99,6.670000000000002,3.6700000000000017,6.719999999999999,8.719999999999999,-49.0,231.0,-33,326,0.6161303630363036
win,3.44,-3.6000000000000005,6.670000000000002,5.570000000000007,5.420000000000002,8.420000000000002,-14.0,703.0,-32,379,0.6716177456604336
win,4.38,-6.08,5.730000000000004,5.890000000000001,5.049999999999997,7.219999999999999,-14.0,451.0,-21,349,0.515117243119514
draw,5.33,-8.01,5.730000000000004,5.890000000000001,5.049999999999997,7.219999999999999,-11.0,210.0,-10,150,0.4679215808794813
lose,3.7,-1.0899999999999999,1.6700000000000017,1.7000000000000028,0.9299999999999926,3.3400000000000034,1.0,-4.0,-1,12,0.4724340175953079
win,9.09,-27.189999999999998,17.67,17.17,17.22,17.22,-84.0,1190.0,-77,569,0.600179792523941
draw,4.38,-6.81,5.730000000000004,8.290000000000006,5.409999999999997,5.780000000000001,-6.0,293.0,-11,214,1.5007914742594421
lose,3.9,3.71,-3.8100000000000023,-3.9399999999999977,-3.9399999999999977,-1.8700000000000045,34.0,-355.0,34,-181,-0.3798629460161973
lose,3.17,0.3500000000000001,-2.469999999999999,-0.5499999999999972,-4.25,-2.75,-17.0,87.0,19,-83,-0.036640235210263716
lose,3.73,3.5999999999999996,-6.689999999999998,-6.909999999999997,-7.480000000000004,-6.1299999999999955,8.0,-374.0,49,-456,-0.35041555204975194
